Title,Author,Genre,Language
Don Quixote,Miguel de Cervantes,Adventure,Spanish
Alice's Adventures in Wonderland,Lewis Carroll,Fantasy,English
The Adventures of Huckleberry Finn,Mark Twain,Adventure,English
The Adventures of Tom Sawyer,Mark Twain,Adventure,English
Treasure Island,Robert Louis Stevenson,Adventure,English
Pride and Prejudice,Jane Austen,Romance,English
Wuthering Heights,Emily Brontë,Gothic Fiction,English
Jane Eyre,Charlotte Brontë,Gothic Fiction,English
Moby Dick,Herman Melville,Epic Fiction,English
The Scarlet Letter,Nathaniel Hawthorne,Historical Fiction,English
Gulliver's Travels,Jonathan Swift,Satire,English
The Pilgrim's Progress,John Bunyan,Allegory,English
A Christmas Carol,Charles Dickens,Ghost Story,English
David Copperfield,Charles Dickens,Coming-of-age,English
A Tale of Two Cities,Charles Dickens,Historical Fiction,English
Little Women,Louisa May Alcott,Domestic Fiction,English
Great Expectations,Charles Dickens,Coming-of-age,English
The Hobbit,J.R.R. Tolkien,Fantasy,English
Frankenstein,Mary Shelley,Gothic/Sci-Fi,English
Oliver Twist,Charles Dickens,Social Fiction,English
Uncle Tom's Cabin,Harriet Beecher Stowe,Political Fiction,English
Crime and Punishment,Fyodor Dostoyevsky,Psychological Fiction,Russian
Madame Bovary,Gustave Flaubert,Literary Realism,French
The Return of the King,J.R.R. Tolkien,Fantasy,English
Dracula,Bram Stoker,Gothic Horror,English
The Three Musketeers,Alexandre Dumas,Historical Adventure,French
Brave New World,Aldous Huxley,Dystopian,English
War and Peace,Leo Tolstoy,Historical Fiction,Russian
To Kill a Mockingbird,Harper Lee,Coming-of-age,English
The Wizard of Oz,L. Frank Baum,Fantasy,English
Les Misérables,Victor Hugo,Historical Fiction,French
The Secret Garden,Frances Hodgson Burnett,Children's Fiction,English
Animal Farm,George Orwell,Political Satire,English
The Great Gatsby,F. Scott Fitzgerald,Tragedy,English
The Little Prince,Antoine de Saint-Exupéry,Fable,French
The Call of the Wild,Jack London,Adventure,English
20000 Leagues Under the Sea,Jules Verne,Science Fiction,French
Anna Karenina,Leo Tolstoy,Realism,Russian
The Wind in the Willows,Kenneth Grahame,Children's Fantasy,English
The Picture of Dorian Gray,Oscar Wilde,Philosophical Fiction,English
The Grapes of Wrath,John Steinbeck,Social Realism,English
Sense and Sensibility,Jane Austen,Romance,English
The Last of the Mohicans,James Fenimore Cooper,Historical Fiction,English
Tess of the d'Urbervilles,Thomas Hardy,Tragedy,English
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,English
